,uncertainty,certainty,mae_24,rmse_24,mdpe_24,mae_combined,rmse_combined,mdpe_combined
11864,0.11076755771083191,0.8892324422891681,0.46540131326205125,0.6226145464770805,0.6474227937292047,0.4333681117692037,0.6193167943332527,0.7066344573107867
11865,0.10361371414392229,0.8963862858560777,0.47608100658105407,0.6449376515786531,0.6804100062072155,0.5183130255309321,0.6467502985241728,0.6526118168266641
11866,0.10364574135305682,0.8963542586469432,0.4991991302635386,0.6665459110209045,0.7044103300122492,0.5460348434019688,0.7282328410852558,0.7659656108811248
11867,0.11457503230740229,0.8854249676925977,0.63272054317148,0.8174966094826536,0.8729147649403062,0.6479644075786088,0.8291001059918355,0.8914325184818439
11868,0.11503421989938822,0.8849657801006118,0.6236138963189773,0.8128266933187479,0.8731371426190869,0.7312125008811392,0.8409768382320519,0.9082880387800301
11869,0.1161437106930846,0.8838562893069154,0.6514382672630815,0.818184629447788,0.8678504766870971,0.7951630319567496,0.7983485462424956,0.7877218951529963
11870,0.10920652294289046,0.8907934770571095,0.6380032424786929,0.7786403468942193,0.8207589840113025,0.8349569041552074,0.7890961621689828,0.774510522839419
11871,0.10096634147969352,0.8990336585203065,0.6823268861546928,0.7822603339426389,0.8281108418683406,0.781930725057479,0.7811886107198571,0.8039139697223294
11872,0.09715153849919622,0.9028484615008038,0.7173349347007828,0.7861886394632523,0.8316613654791015,0.7262099159963616,0.7821651926389598,0.825083380449722
11873,0.09826394334365329,0.9017360566563467,0.760316497343015,0.7903697179211606,0.8343609084232769,0.7411964861053812,0.769609269828104,0.8021011576181044
11874,0.09831556688717757,0.9016844331128224,0.8073325658994601,0.7933817099343184,0.8355609295547944,0.7262985510637009,0.7568848027203817,0.7888969180742116
11875,0.09745933087704661,0.9025406691229534,0.8518238055098767,0.7971132470638027,0.8382560569762049,0.6164433248192722,0.6934503169396352,0.7055416738590379
11876,0.10613548467297274,0.8938645153270273,0.6490725446604845,0.735393484480173,0.815353694331295,0.5661819961962987,0.697373085300622,0.7872287473702717
11877,0.10246064937011445,0.8975393506298855,0.6886251889184162,0.7387117077422343,0.8171807849973387,0.5468675995978459,0.6694165678529583,0.7735824757399986
11878,0.10781015325643717,0.8921898467435628,0.7324791009703276,0.7493736927140314,0.7413793562308976,0.6748681355090379,0.7452405331897509,0.7509120679143008
11879,0.11893987794486482,0.8810601220551352,0.7591996338058046,1.0594239885553403,0.992174222726395,0.7347860766997292,1.0367918588855636,0.9970585731692772
11880,0.05834606704805534,0.9416539329519447,0.5375847300734669,0.5613807078559563,0.6580027883497074,0.47407672544366697,0.5145898867966371,0.6318861440616963
11881,0.05724995786455711,0.9427500421354429,0.7918480471157001,0.8874496052763712,0.9703274080143145,0.6380021790668917,0.7093434810739838,0.8476933188136878
11882,0.07189767207725795,0.928102327922742,0.44417195528664016,0.5457442898913143,0.6931571267930577,0.42047103851834,0.5330493283805613,0.6946960321684552
11883,0.060236803429975616,0.9397631965700244,0.45428608208620425,0.5811116303895002,0.7384009418263221,0.470420448323382,0.5847581464552358,0.7319167120453689
11884,0.0736161175077944,0.9263838824922056,0.4536477422772305,0.5901209529120558,0.7571647490428705,0.5196385692689096,0.6284705799357214,0.7786733510476062
11885,0.08710282987207041,0.9128971701279296,0.5241324552412827,0.824243877271129,0.9471214948771588,0.6440424507383106,0.9116212872770361,0.9855700100758762
11886,0.07785164978821157,0.9221483502117884,0.6450643031873251,0.6640074515705005,0.7829223530022981,0.4504416167026805,0.555949002843785,0.7178264370903767
11887,0.06911236145566602,0.930887638544334,0.45147786645586846,0.5455815264521524,0.7056790967873172,0.3358624136761669,0.4681851573175044,0.6210107275851078
11888,0.07688781487867591,0.9231121851213241,0.42188276440069133,0.6635905985867373,0.7605648880648759,0.4414613709222372,0.6698984331988921,0.7683907503726695
